120.27,	99.6,	107.5,	4
110.25,	92.05,	103.54,	4
117.19,	93.2,	105.61,	4
113.35,	83.1,	101.1,	4
109.28,	90.49,	104.97,	3
108.63,	84.63,	102.59,	3
111.42,	84.6,	100.1,	3
113.62,	94.18,	102.4,	3
112.13,	86.71,	104.61,	3
109.2,	84.1,	100.1,	3
113,	89.4,	105.4,	3
108.2,	86.6,	97,		3
105.33,	89.9,	100.44,	3
109.2,	86.19,	99.89,	3
105.16,	78.42,	95,		3
109.14,	85.28,	100.27,	3
118.9,	95.3,	102.1,	3
109.32,	83.1,	97.97,	3
109.29,	86.1,	98.49,	2
103.1,	81.3,	91.19,	2
103.6,	86.02,	92.83,	2
98.8,	80,		94.2,	2
120.72,	89.99,	105.2,	5
117.84,	98.98,	110.74,	5
