111.03,	99.6,	107.5,	4
89.31,	90.49,	104.97,	3
101.65,	92.05,	103.54,	4
102.92,	86.1,	98.49,	2
97.19,	84.63,	102.59,	3
99.58,	84.6,	100.1,	3
105.38,	94.18,	102.4,	3
100.28,	86.71,	104.61,	3
92.4,	81.3,	91.19,	2
93.57,	86.02,	92.83,	2
98,		84.1,	100.1,	3
102.73,	93.2,	105.61,	4
97,		89.4,	105.4,	3
106.52,	89.99,	105.2,	5
94,		86.6,	97,		3
99.33,	89.9,	100.44,	3
108.69,	98.98,	110.74,	5
96.26,	86.19,	99.89,	3
94.95,	78.42,	95,		3
102.86,	83.1,	101.1,	4
97.4,	85.28,	100.27,	3
98,		95.3,	102.1,	3
98.5,	83.1,	97.97,	3
90.6,	80,		94.2,	2
